Date, Open, High, Low, Close, Volume
11/26/12, 92.31, 92.39, 92.01, 92.39, 2160622
11/23/12, 92.25, 92.44, 92.1101, 92.37, 1041033
11/21/12, 92.00, 92.23, 91.97, 92.06, 2984626
11/20/12, 92.08, 92.18, 91.84, 92.09, 4010343
11/19/12, 91.23, 92.12, 91.21, 92.08, 9498462
11/16/12, 90.76, 91.00, 90.5245, 90.93, 4730158
11/15/12, 90.55, 90.92, 90.09, 90.6697, 6989617
11/14/12, 91.46, 91.50, 90.64, 90.71, 5017496
11/13/12, 91.28, 91.38, 91.07, 91.21, 4347315
11/12/12, 91.49, 91.57, 91.32, 91.42, 2066002
11/09/12, 91.28, 91.68, 91.25, 91.39, 3953930
11/08/12, 91.96, 92.16, 91.50, 91.55, 5829400
11/07/12, 92.25, 92.27, 91.80, 91.85, 3698121
11/06/12, 92.43, 92.52, 92.27, 92.40, 1408961
11/05/12, 92.40, 92.59, 92.115, 92.261, 3361681
11/02/12, 92.66, 92.75, 92.39, 92.41, 2829471
11/01/12, 92.18, 92.63, 92.06, 92.54, 2092210
10/31/12, 92.48, 92.67, 92.44, 92.5923, 2914389
10/26/12, 92.73, 92.79, 92.28, 92.48, 4591719
10/25/12, 92.92, 92.9637, 92.60, 92.70, 2005508
10/24/12, 92.84, 92.87, 92.50, 92.55, 4332860
10/23/12, 92.70, 92.81, 92.50, 92.6307, 3916816
10/22/12, 93.00, 93.19, 92.92, 92.98, 3021620
10/19/12, 93.37, 93.42, 92.8818, 92.96, 2041113
10/18/12, 93.35, 93.53, 93.30, 93.43, 1676252
10/17/12, 93.40, 93.56, 93.30, 93.48, 2971434
10/16/12, 93.06, 93.33, 92.94, 93.27, 3536236
10/15/12, 92.76, 92.97, 92.5802, 92.93, 2378467
10/12/12, 92.44, 92.76, 92.31, 92.51, 3696800
10/11/12, 92.20, 92.37, 92.12, 92.35, 2810944
10/10/12, 92.15, 92.21, 91.80, 91.85, 5432157
10/09/12, 92.51, 92.51, 92.05, 92.075, 5777275
10/08/12, 92.26, 92.40, 92.19, 92.33, 1143216
10/05/12, 92.78, 92.79, 92.28, 92.46, 2513517
10/04/12, 92.23, 92.57, 92.18, 92.51, 1847162
10/03/12, 91.97, 92.35, 91.91, 92.12, 3200941
10/02/12, 91.84, 91.97, 91.64, 91.89, 3151867
10/01/12, 92.27, 92.27, 91.60, 91.663, 5386691
09/28/12, 92.66, 92.67, 92.29, 92.30, 3668124
09/27/12, 92.18, 92.74, 92.00, 92.74, 3882509
09/26/12, 92.18, 92.20, 91.48, 91.74, 6554124
09/25/12, 93.05, 93.10, 92.13, 92.20, 5726881
09/24/12, 93.02, 93.12, 92.94, 93.03, 1867120
09/21/12, 93.47, 93.47, 93.03, 93.15, 3121781
09/20/12, 93.63, 93.64, 93.27, 93.28, 2122173
09/19/12, 93.94, 93.94, 93.72, 93.72, 3306499
09/18/12, 93.83, 93.92, 93.624, 93.84, 4099358
